date,title,source,link,category,tier,companies,summary_1,summary_2,summary_3,popularity_signal
2026-08-15,CATL and Quinbrook Build on Supernode Partnership Following Stage 2 and Stage 3 Major Milestones,PR Newswire - Energy,https://www.prnewswire.com/news-releases/catl-and-quinbrook-build-on-supernode-partnership-following-stage-2-and-stage-3-major-milestones-302852270.html,기타,1,Quinbrook; CATL,호주에서 Quinbrook의 Supernode 배터리 에너지 저장 프로젝트가 2단계 상업 운전을 완료했습니다.,"또한 3단계에 대한 4억 6,900만 호주 달러의 금융 조달에 대한 재무 종결을 달성했습니다.",이는 호주 최대 규모의 배터리 에너지 저장 프로젝트 개발에 있어 중요한 이정표를 나타냅니다.,unknown
2026-08-15,Nickel Compounds Battery Market Forecast 2035: Growth Driven by EV and Grid Storage - News and Statistics,IndexBox,https://news.google.com/rss/articles/CBMiwwFBVV95cUxNclQ5Ry1xUE5VMm9sNmxBeXJqSjJONmc4b00xalNqMTFUc0VjQUtnX1dXSTVkbHF6OVVqb3ZDYXowR0trdlZMTGNhR1E1aDJJWGRjYXFYZWpHeldvcVBfNnFXN1YwVEIxMGRIenVXWFR3TkJkdHJub1ZmWkpTR3h3SnhCOXV3bTRnRVdfT3pHS1cxc29meDE4dEk2Ulllb0pfZTBMZmM3Q1lEU3I2bEk4R3kxbGQxWEVOc2dOT3h2UXpmSTA?oc=5,cathode,3,,전기차 및 그리드 저장 장치의 수요 증가로 니켈 화합물 배터리 시장이 성장할 것으로 예상됩니다.,이러한 추세는 2035년까지 니켈 화합물 배터리 시장의 상당한 성장을 이끌 것으로 보입니다.,시장의 성장은 배터리 기술의 혁신과 생산 능력 확대를 촉진할 것입니다.,unknown
2026-08-15,"中 배터리 소비세 부과 임박…EVE에너지, 가격 인상 착수",www.theguru.co.kr,https://www.theguru.co.kr/news/article.html?no=105858,전고체,3,EVE에너지; 나트륨이온전지; 전고체전지,중국에서 다음 달부터 일부 배터리 제품에 2%의 소비세가 부과될 예정입니다.,이로 인해 전기차 및 에너지 저장 시스템(ESS)의 가격 인상이 예상됩니다.,"단, 나트륨 이온 전지, 전고체 전지, 연료 전지는 2028년 말까지 소비세가 면제됩니다.",unknown
2026-08-15,"삼성SDI, 중국 배터리 점유율 되찾나…ESS·유럽 EV가 승부처",www.pinpointnews.co.kr,https://www.pinpointnews.co.kr/news/articleView.html?idxno=477725,cathode,3,삼성SDI; LFP,"삼성SDI는 북미에서는 ESS, 유럽에서는 LFP 각형 배터리를 앞세워 중국 업체와 경쟁하고 있습니다.",기존 한국 경쟁사들과의 시장 점유율 경쟁도 동시에 벌여야 하는 상황입니다.,하지만 시장 확대가 곧바로 실적 개선으로 이어질지는 단정하기 어렵습니다.,unknown
2026-08-15,새 판 짜기 돌입한 삼성SDI…불붙는 韓 ESS 3차 입찰 [위클리배터리],www.ddaily.co.kr,https://www.ddaily.co.kr/page/view/2026081601580548816,기타,3,삼성SDI; 위클리배터리; 이차전지·에너지,"삼성SDI가 새로운 사업 판을 짜고 있으며, 한국 ESS 3차 입찰이 뜨겁게 진행되고 있습니다.",이번 사업은 이전 2차 시장과 비슷한 규모와 방식으로 추진될 것으로 보입니다.,ESS 중앙 계약 시장은 전력 계통 안정화에 중요한 역할을 합니다.,unknown
2026-08-15,"Senior Lithium Battery Separator Maker Senior Tech Acquires 59.98% of Bangci Electronics for 242 Million Yuan at 284% Premium, Betting on Semiconductor Materials",finance.biggo.com,https://news.google.com/rss/articles/CBMidkFVX3lxTE9SUVlucEVNT01HR0hPdF8zX1FCbEgxQ1ZRNU0tZlNVZExCaFNZUUZVRnlVaGhiaElFQ1JxMDNneXU1LUlhbGxfcU5ZOWNqZnQzZXFSNlZDUTJVT3FFSEJKNS1WY2pFSURfSC1BV3VVa0JLbmUzNEE?oc=5,separator,3,Senior Tech; Bangci Electronics,"리튬 배터리 분리막 제조업체인 Senior Tech가 Bangci Electronics의 지분 59.98%를 2억 4,200만 위안에 인수했습니다.","이는 284%의 프리미엄이 붙은 가격으로, 반도체 소재 시장에 대한 기대를 반영합니다.",이번 인수는 Senior Tech의 사업 다각화 전략의 일환으로 해석됩니다.,unknown
2026-08-15,Chinese automaker’s new EV offers 625-mile range with 130.15 kWh lithium battery,Interesting Engineering,https://news.google.com/rss/articles/CBMilwFBVV95cUxNNmxkd2x6cXZzYWZZMGN0TnpxSklsNDVSX2NKaEhrSVAtSmsycGwtcVZ4U3c2RXZvblFPTWZuc0wzMXlnWFJ1aUJPSHVHWExUM0xQWDdudGc5WHJJQm5PYzRRZWtKaHBSVm5aZGswdHpKSUZMQXd0OXQwUUcyLVlkVTRNOEQzTFRRTzk3czZ6WjdpOUNaQXU4?oc=5,cathode,3,,한 중국 자동차 제조업체가 130.15kWh 리튬 배터리를 탑재한 신형 전기차를 출시했습니다.,이 전기차는 625마일(약 1006km)의 주행 거리를 제공합니다.,이는 전기차 배터리 기술의 발전을 보여주는 사례입니다.,unknown
2026-08-15,"""AI 전력난 겨냥""… 韓 델타엑스, 美 조지아에 1.41억 달러 BESS 생산 캠퍼...",www.g-enews.com,https://www.g-enews.com/view.php?ud=2026081608421267380c8c1c064d_1,기타,3,델타엑스; K-배터리; AI,"AI 전력난을 겨냥하여 한국의 델타엑스가 미국 조지아에 1억 4,100만 달러 규모의 BESS 생산 캠퍼스를 건설합니다.",이는 K-배터리 기업들이 전기차 중심 사업 구조를 산업용 에너지 저장 장치(ESS)로 다각화하는 데 중요한 역할을 할 것입니다.,이 캠퍼스는 거시 에너지 인프라 구축에 기여할 전망입니다.,unknown
2026-08-15,LG엔솔 가동률 4년 만에 상승…북미가 하반기 변수,daily.hankooki.com,https://daily.hankooki.com/news/articleView.html?idxno=1396095,기타,3,LG에너지솔루션; LG엔솔,"LG에너지솔루션의 가동률이 4년 만에 상승했으며, 북미 시장이 하반기 실적의 변수가 될 것으로 보입니다.",올해는 특히 ESS용 배터리가 가동률 회복을 주도하고 있습니다.,LG에너지솔루션은 전기차 배터리 생산 라인의 일부를 ESS용으로 전환하여 유휴 생산 능력을 활용하고 있습니다.,unknown
2026-08-15,"'美 순방' 인도 텔랑가나 부총리, 퀀텀스케이프 방문…차세대 배터리 협...",www.theguru.co.kr,https://www.theguru.co.kr/news/article.html?no=105867,전고체,3,퀀텀스케이프,인도 텔랑가나 부총리가 퀀텀스케이프를 방문하여 차세대 배터리 협력 방안을 논의했습니다.,퀀텀스케이프의 새너제이 캠퍼스에는 전고체 배터리 자동화 파일럿 생산 라인인 '이글 라인'이 있습니다.,양측은 차세대 전고체 리튬-금속 배터리 기술과 글로벌 공급망 다변화에 대해 협력할 예정입니다.,unknown
