date,title,source,link,category,tier,companies,summary_1,summary_2,summary_3,popularity_signal
2026-08-03,What The 745-Mile Solid-State Battery Means For Toyota’s Future,Top Speed,https://news.google.com/rss/articles/CBMieEFVX3lxTE1VdlhSZDFjd0o2NVViV29PZDZCZzJ4SGk2TUdIS2VzTWVmenVya0R6RndiTUh3SldRaHo4ZzV3Nld3V1RPTzRZYXJNRlNwOFJUZjZLOVdIM2NyNlFSck95MFdnZ0lESmg4cU03OU9JckpSdzQwaExPWA?oc=5,전고체,3,Toyota,Toyota is developing a 745-mile solid-state battery.,This advanced battery technology could significantly improve electric vehicle range and performance.,The development signals Toyota's commitment to next-generation battery solutions.,trending
2026-08-03,"자비스, '꿈의 배터리' 전고체전지 국책과제 참여… 78억 규모 과제서 검...",www.etnews.com,https://www.etnews.com/20260803000339,전고체,3,자비스; 전고체전지; 전장·2차전지,자비스가 '꿈의 배터리'로 불리는 전고체전지 국책과제에 참여한다.,"이번 과제는 78억 규모로, 자비스는 X-ray 검사장비 기술을 활용할 것으로 보인다.","이는 자비스가 반도체, 2차전지 등 다양한 사업 포트폴리오를 바탕으로 전고체전지 시장 선점에 나서는 행보다.",unknown
2026-08-03,전고체 배터리 및 차세대 공정 투자 모멘텀… 2차전지 장비 섹터 훈풍,www.pinpointnews.co.kr,https://www.pinpointnews.co.kr/news/articleView.html?idxno=473913,전고체,3,2차전지,글로벌 배터리 제조사들의 신규 공장 증설 재개와 차세대 배터리 공정 투자 소식에 힘입어 2차전지 장비 섹터가 상승세를 보이고 있다.,특히 전고체 배터리 및 차세대 공정 투자는 업계의 중요한 모멘텀으로 작용하고 있다.,이는 전기차 시장의 캐즘 현상에도 불구하고 관련 기술 개발 및 투자가 활발히 이루어지고 있음을 시사한다.,unknown
2026-08-03,‘꿈의 배터리’ 대량생산 첫걸음…SK온·팩토리얼 MOU 체결,www.thedrive.co.kr,https://www.thedrive.co.kr/news/newsview.php?ncode=1065599394145761,전고체,3,팩토리얼; SK온; MOU,전기차 배터리의 '게임 체인저'로 불리는 전고체 배터리가 연구실을 넘어 실제 생산 라인으로 향한다.,미국의 배터리 기술 기업 팩토리얼과 한국의 SK온이 손잡고 기존 공장 생산라인에서의 전고체 배터리 생산을 추진한다.,이는 전고체 배터리의 대량 생산 가능성을 열고 상용화를 앞당기는 중요한 발걸음이 될 것으로 기대된다.,unknown
2026-08-03,"엘엔에프, 국내 첫 LFP 양극재 시생산 출하…'탈중국' 밸류체인 구축 선...",www.mediapen.com,https://www.mediapen.com/news/view/1114056,cathode,3,엘앤에프; 엘앤에프플러스; LS-엘앤에프배터리솔루션,엘앤에프는 엘앤에프플러스가 생산한 LFP 양극재 시생산품의 첫 출하를 성공적으로 마쳤다고 밝혔다.,"이는 국내 첫 LFP 양극재 시생산 출하로, '탈중국' 밸류체인 구축에 기여할 것으로 보인다.","엘앤에프는 단순 양극재 생산을 넘어 전구체 내재화, 차세대 배터리 소재 개발 등 사업 영역을 확장하고 있다.",unknown
2026-08-03,Mana Battery and Saft Sign Joint Development Agreement to Advance Anode-Free Sodium-Ion Battery Technology,GlobeNewswire,https://news.google.com/rss/articles/CBMiigJBVV95cUxOU0cyY0E1N3JETHhEbEg3R2FuUFRRTTFpbVFaYktLdk1DUHItbzV5VXNMSl9hazF4Y2NEZXFiSDZicURWTC1jeTNOU2k5bFllRnVaTjN6aW1BLTdrRXVURXlTX1NqS0c5RTBHYkxsSl9FOVhwM09BbWxITU40UGRpOEQyR1FqX1pYMHktVnZLWFFjZHFIUXBNMjM2cGM3TVdoMTh1Nl9uMTRqQ3I1QzNWc2JwR3c3QzV1cENRYmVJTm9WQWZkQTh1S2ZwNk1mdmI2UFYtOTc3QnRqNGx6MnkwQ0gtYWtyanM5U1NGRlpQYmxfU0VqUnFjRHFpNUNhRmVXSDR2bU5rb1BsZw?oc=5,anode,3,Mana Battery; Saft,Mana Battery와 Saft가 무전극 나트륨 이온 배터리 기술 발전을 위한 공동 개발 계약을 체결했다.,이번 파트너십은 차세대 배터리 기술 개발에 있어 중요한 진전을 의미한다.,양사는 협력을 통해 무전극 나트륨 이온 배터리의 성능 향상 및 상용화를 목표로 할 것이다.,unknown
2026-08-03,“Wait-and-See” Fully Activated! Industry Chain Prepares for the Era of Large-Scale Commercialization of Sodium-Ion Batteries,Shanghai Metals Market,https://news.google.com/rss/articles/CBMi_AFBVV95cUxPVmJPUUV3VGkxNGtjd1hQaEV5T2lXOFF5ZC1hdkZGNWVVbkN2T05UWFplT05IX2UwVWhkX1VZR3ppaU40NEJQZ1IzUnhqVDZWYS13SGJvOVhadk9ibEFJWVd3aTZHMlhudlBpWE1ZMHdfZU9wTW1GSHk3MHhQUEx4V1dZNUhBd0JVQ2NEWW1FVGRwbTVCR1I5bnBReXlmbTVCclZvOG5YVkVMNDZMUHZnSHZEZlhBbGZDc0YyZDd5NW5aYTV2QWVVUVFaMHFRWEtlbVk1dHc0SVZCMWw3UU9nRlJRWXVjTV93dUg1dzlERHNVS2NIa2VYcXZsdUo?oc=5,나트륨,3,,업계 전반에서 나트륨 이온 배터리의 대규모 상용화 시대를 준비하고 있다.,이는 'Wait-and-See' 전략에서 벗어나 적극적인 준비 단계로 진입했음을 의미한다.,나트륨 이온 배터리 산업 생태계는 새로운 기술 표준과 시장 경쟁에 대비하고 있다.,unknown
2026-08-03,"혼다, 퀀텀스케이프와 ‘전고체 배터리’ 공동 개발… 차세대 전동화 주...",www.g-enews.com,https://www.g-enews.com/view.php?ud=2026080323345028050c8c1c064d_1,전고체,3,혼다; 퀀텀스케이프,일본 완성차 대기업 혼다가 미국의 첨단 배터리 스타트업 퀀텀스케이프와 전고체 배터리 공동 연구 및 개발에 나섰다.,"이번 협력은 혼다의 차세대 전동화 전략의 일환으로, '꿈의 배터리'로 불리는 전고체 배터리의 기술 확보를 목표로 한다.",양사는 전고체 배터리 기술의 상용화를 통해 전기차 시장에서의 경쟁력을 강화하고자 한다.,unknown
2026-08-03,유통회사 벗는 피노…LFP 양극재 제조기업 '체질 전환',dealsite.co.kr,https://dealsite.co.kr/articles/166403,cathode,3,피노; 이차전지; LFP,유통 회사였던 피노가 LFP 양극재 제조 기업으로 체질 전환을 선언했다.,피노는 기존 통신장비 중심 사업 구조를 이차전지 소재 분야로 재편하여 니켈·코발트·망간(NCM) 전구체와 LFP 양극재를 주력 사업으로 육성해왔다.,이번 체질 전환은 피노가 급성장하는 이차전지 시장에서 새로운 성장 동력을 확보하려는 전략으로 풀이된다.,unknown
2026-08-03,Factorial and SK On Sign MoU to Explore Solid-State Battery Manufacturing,iGrow News,https://news.google.com/rss/articles/CBMiV0FVX3lxTFBnMjdZYzdZM3l1UzRMUTNMbU8yb2hIQzBwSWlzTU55R2lXYmU2Z1FIYV9BdHBCajJaa2R1cEN0NHlTb0hpQlRZb2lMY2xIcWJDeDNMMmdsQQ?oc=5,전고체,3,팩토리얼; SK온; SK,미국 배터리 기술 기업 팩토리얼과 한국의 SK온이 전고체 배터리 제조 협력을 위한 양해각서(MOU)를 체결했다.,이번 MOU는 전고체 배터리의 시제품 생산 단계를 넘어 실제 제조 공정으로 나아가기 위한 협력의 시작을 알린다.,양사는 이번 파트너십을 통해 전고체 배터리 상용화 및 대량 생산 가능성을 모색할 예정이다.,unknown
